old_path,new_path,md5,status
microdatos_tabulados/Act_estadis_geografica_cngf2017_dbf.zip,microdatos_tabulados/cngf_2017_actividades_estadisticas_geograficas_microdatos.dbf.zip,39e50e87f27a51719a2ed2839aaad16a,renamed
microdatos_tabulados/Act_estadis_geografica_cngf2018_dbf.zip,microdatos_tabulados/cngf_2018_actividades_estadisticas_geograficas_microdatos.dbf.zip,4c8b52c0c78e5584497ea6f19adbfb7d,renamed
microdatos_tabulados/Act_estadis_geograficas_cngmd2015_dbf.zip,microdatos_tabulados/cngmd_2015_actividades_estadisticas_geograficas_microdatos.dbf.zip,f5355e0217c84340329e603cb7c25d13,renamed
microdatos_tabulados/Activ_estadist_geogra_cngmd2017_dbf.zip,microdatos_tabulados/cngmd_2017_actividades_estadisticas_geograficas_microdatos.dbf.zip,6e6784947d4bd173abbb81a9e6245008,renamed
microdatos_tabulados/Activ_estadist_geogra_cngmd2019_dbf.zip,microdatos_tabulados/cngmd_2019_actividades_estadisticas_geograficas_microdatos.dbf.zip,1d237e1cb6b8f61b55e6d108cca00d2b,renamed
microdatos_tabulados/Actividad_ayuntami_cngmd2017_dbf.zip,microdatos_tabulados/cngmd_2017_actividades_ayuntamiento_microdatos.dbf.zip,a836ed5330f7740ed6b52a1999701df6,renamed
microdatos_tabulados/Actividad_ayuntami_cngmd2019_dbf.zip,microdatos_tabulados/cngmd_2019_actividades_ayuntamiento_microdatos.dbf.zip,02dc6de6c4eb5285af7e57f53fefbf47,renamed
microdatos_tabulados/Admin_agua_red_cngmd2015_dbf.zip,microdatos_tabulados/cngmd_2015_administracion_servicio_agua_red_publica_microdatos.dbf.zip,0e0126ae491be4ba52204f882e724a0c,renamed
microdatos_tabulados/Admin_agua_red_cngmd2017_dbf.zip,microdatos_tabulados/cngmd_2017_administracion_servicio_agua_red_publica_microdatos.dbf.zip,51fc8b9fd168a1f11263e99fe5ee233f,renamed
microdatos_tabulados/Admin_pub_territorio_cngmd2017_dbf.zip,microdatos_tabulados/cngmd_2017_administracion_publica_territorio_microdatos.dbf.zip,c762ecd6fec57a4980c87cd0b0cc177e,renamed
microdatos_tabulados/Admin_pub_territorio_cngmd2019_dbf.zip,microdatos_tabulados/cngmd_2019_administracion_publica_territorio_microdatos.dbf.zip,10732525971dc55628897fba820814b1,renamed
microdatos_tabulados/Admon_arch_gest_docum_cngmd2019_dbf.zip,microdatos_tabulados/cngmd_2019_administracion_archivos_gestion_documental_microdatos.dbf.zip,04c9195cf80e99e73889b39c618dd88c,renamed
microdatos_tabulados/Admon_archivo_gestion_cngmd2017_dbf.zip,microdatos_tabulados/cngmd_2017_administracion_archivos_gestion_documental_microdatos.dbf.zip,b905320a0a597f4c29ac5d10a8cf7e4b,renamed
microdatos_tabulados/Aguas_sintrat_cngmd2015_dbf.zip,microdatos_tabulados/cngmd_2015_aguas_residuales_sin_tratamiento_microdatos.dbf.zip,0d334c7e1cb2687b9cd8272d36c7570c,renamed
microdatos_tabulados/Aguas_sintrat_cngmd2017_dbf.zip,microdatos_tabulados/cngmd_2017_aguas_residuales_sin_tratamiento_microdatos.dbf.zip,49d909e63d867f5daa85ae40345f416b,renamed
microdatos_tabulados/Asen_hum_zona_riesg_cngmd2017_dbf.zip,microdatos_tabulados/cngmd_2017_asentamientos_humanos_zonas_riesgo_microdatos.dbf.zip,d2e948df4bf2963c73fbf61ee9d159ec,renamed
microdatos_tabulados/Asen_hum_zona_riesg_cngmd2019_dbf.zip,microdatos_tabulados/cngmd_2019_asentamientos_humanos_zonas_riesgo_microdatos.dbf.zip,c5f3755b28bd0620684bdc95d47f1c06,renamed
microdatos_tabulados/Asent_human_irregu_cngmd2017_dbf.zip,microdatos_tabulados/cngmd_2017_asentamientos_humanos_irregulares_microdatos.dbf.zip,a44530be59f918bf9d489d8ecfa04a69,renamed
microdatos_tabulados/Asent_human_irregu_cngmd2019_dbf.zip,microdatos_tabulados/cngmd_2019_asentamientos_humanos_irregulares_microdatos.dbf.zip,1f91c6a6564aed17cb65e0e971ebc008,renamed
microdatos_tabulados/CNGE2021_Adm_Archivos.xlsx,microdatos_tabulados/cnge_2021_administracion_archivos_gestion_documental_tabulados.xlsx,2123ee32982cd0ddf9bf443cc3f7f828,renamed
microdatos_tabulados/CNGE2021_Catastro.xlsx,microdatos_tabulados/cnge_2021_catastro_tabulados.xlsx,ff2dcb56b1bb0a53906e57a593a25ff1,renamed
microdatos_tabulados/CNGE2021_Contratos.xlsx,microdatos_tabulados/cnge_2021_contrataciones_publicas_tabulados.xlsx,a9a65b2fdd538c9296b4e33dba5a4646,renamed
microdatos_tabulados/CNGE2021_Ctrl_Int_Anticor.xlsx,microdatos_tabulados/cnge_2021_control_interno_anticorrupcion_tabulados.xlsx,2c1324f17fac6101c7db1797d131a93b,renamed
microdatos_tabulados/CNGE2021_Defensoria.xlsx,microdatos_tabulados/cnge_2021_defensoria_publica_tabulados.xlsx,1000acce89b8071d179e66e154aabd2e,renamed
microdatos_tabulados/CNGE2021_EstOrg_Rec.xlsx,microdatos_tabulados/cnge_2021_estructura_organizacional_recursos_tabulados.xlsx,1d6afafbee4f8e5ef09ec68c46bf12ff,renamed
microdatos_tabulados/CNGE2021_Gest_Terr.xlsx,microdatos_tabulados/cnge_2021_planeacion_gestion_territorial_tabulados.xlsx,714f852ae64e5616137658a6dfb33cfe,renamed
microdatos_tabulados/CNGE2021_Just_Civica.xlsx,microdatos_tabulados/cnge_2021_justicia_civica_tabulados.xlsx,8c51915f43cae3e52ef3a4228d44bbbb,renamed
microdatos_tabulados/CNGE2021_Medio_Amb.xlsx,microdatos_tabulados/cnge_2021_medio_ambiente_tabulados.xlsx,d663b02f84d2cadf310fe399227d0b30,renamed
microdatos_tabulados/CNGE2021_Prot_Civil.xlsx,microdatos_tabulados/cnge_2021_proteccion_civil_tabulados.xlsx,9bd44a5791901f5e8a10ff3cf69cd6d7,renamed
microdatos_tabulados/CNGE2021_RegPub_Prop.xlsx,microdatos_tabulados/cnge_2021_regpub_prop_tabulados.xlsx,3a6a06c6e4f2221c42d45f7cbce84e3a,renamed
microdatos_tabulados/CNGE2021_Tramites.xlsx,microdatos_tabulados/cnge_2021_tramites_servicios_tabulados.xlsx,bf12c7fc7f3ce8c9bbf2b13117a70813,renamed
microdatos_tabulados/CNGE2021_Transparencia.xlsx,microdatos_tabulados/cnge_2021_transparencia_tabulados.xlsx,73f67b7d4a5b417f6c92294088fe986b,renamed
microdatos_tabulados/CNGF2017_M1.xlsx,microdatos_tabulados/cngf_2017_estructura_organizacional_recursos_tabulados.xlsx,0d45639f87b49a789424ce39c6b628e6,renamed
microdatos_tabulados/CNGF2017_M2.xlsx,microdatos_tabulados/cngf_2017_recursos_presupuestales_planeacion_evaluacion_tabulados.xlsx,88487037a9700ae24743d329a15e5640,renamed
microdatos_tabulados/CNGF2018_M1.xlsx,microdatos_tabulados/cngf_2018_estructura_organizacional_recursos_tabulados.xlsx,102921a58951486fa254eaea473d3cd4,renamed
microdatos_tabulados/CNGF2018_M2.xlsx,microdatos_tabulados/cngf_2018_recursos_presupuestales_planeacion_evaluacion_tabulados.xlsx,ff0be583a745855285dde922a82f22c3,renamed
microdatos_tabulados/CNGF2019_M1.xlsx,microdatos_tabulados/cngf_2019_estructura_organizacional_recursos_tabulados.xlsx,117e3f1ca07b3ae4489e5e4080b413c0,renamed
microdatos_tabulados/CNGF2019_M2.xlsx,microdatos_tabulados/cngf_2019_recursos_presupuestales_planeacion_evaluacion_tabulados.xlsx,d519a1721520210538421e58365098aa,renamed
microdatos_tabulados/CNGF2020_Ctrl_Int.xlsx,microdatos_tabulados/cngf_2020_control_interno_anticorrupcion_tabulados.xlsx,3bd953458686bbe8c42e7d40fda31436,renamed
microdatos_tabulados/CNGF2020_EstOrg_Rec.xlsx,microdatos_tabulados/cngf_2020_estructura_organizacional_recursos_tabulados.xlsx,af82e6163c33e89a661324c7480adcd3,renamed
microdatos_tabulados/CNGF2020_Tramites.xlsx,microdatos_tabulados/cngf_2020_tramites_servicios_tabulados.xlsx,aabc7448213fe4e4e1363bf038d722b3,renamed
microdatos_tabulados/CNGMD2017_M1.xlsx,microdatos_tabulados/cngmd_2017_ayuntamiento_tabulados.xlsx,3acec73f1f0084a0f77a3fc870a443a2,renamed
